store_code,shelf_code,sku,product_name,category_code,actual_stock,counted_at,jan_code,book_stock,unit,cost_price,selling_price
DEMO-STORE-ENTRY-001,Shelf_01,REAL-SKU-0001,ビスケット,CAT_01,25,2026-09-08 10:00,4901234700001,25,個,,
DEMO-STORE-ENTRY-001,Shelf_01,REAL-SKU-0002,ポテトスナック,CAT_01,18,2026-09-08 10:00,4901234700002,18,個,,
DEMO-STORE-ENTRY-001,Shelf_01,REAL-SKU-0003,レトルトカレー,CAT_01,22,2026-09-08 10:00,4901234700003,20,個,,
DEMO-STORE-ENTRY-001,Shelf_01,REAL-SKU-0004,インスタントスープ,CAT_01,15,2026-09-08 10:00,4901234700004,15,個,,
DEMO-STORE-ENTRY-001,Shelf_01,REAL-SKU-0005,緑茶,CAT_01,40,2026-09-08 10:00,4901234700005,40,個,,
DEMO-STORE-ENTRY-001,Shelf_02,REAL-SKU-0006,A5ノート,CAT_02,12,2026-09-08 10:00,4901234700006,12,個,,
DEMO-STORE-ENTRY-001,Shelf_02,REAL-SKU-0007,ボールペン,CAT_02,30,2026-09-08 10:00,4901234700007,30,個,,
DEMO-STORE-ENTRY-001,Shelf_02,REAL-SKU-0008,鉛筆セット,CAT_02,10,2026-09-08 10:00,4901234700008,10,個,,
DEMO-STORE-ENTRY-001,Shelf_02,REAL-SKU-0009,消しゴム,CAT_02,20,2026-09-08 10:00,4901234700009,20,個,,
DEMO-STORE-ENTRY-001,Shelf_02,REAL-SKU-0010,付箋セット,CAT_02,14,2026-09-08 10:00,4901234700010,14,個,,
DEMO-STORE-ENTRY-001,Shelf_03,REAL-SKU-0011,単3乾電池,CAT_03,48,2026-09-08 10:00,4901234700011,48,個,,
DEMO-STORE-ENTRY-001,Shelf_03,REAL-SKU-0012,USB充電ケーブル,CAT_03,16,2026-09-08 10:00,4901234700012,16,個,,
DEMO-STORE-ENTRY-001,Shelf_03,REAL-SKU-0013,有線イヤホン,CAT_03,9,2026-09-08 10:00,4901234700013,9,個,,
DEMO-STORE-ENTRY-001,Shelf_03,REAL-SKU-0014,LEDライト,CAT_03,11,2026-09-08 10:00,4901234700014,11,個,,
DEMO-STORE-ENTRY-001,Shelf_03,REAL-SKU-0015,ケーブル整理バンド,CAT_03,25,2026-09-08 10:00,4901234700015,25,個,,
DEMO-STORE-ENTRY-001,Shelf_04,REAL-SKU-0016,化粧水,CAT_04,13,2026-09-08 10:00,4901234700016,13,個,,
DEMO-STORE-ENTRY-001,Shelf_04,REAL-SKU-0017,メイク用パフ,CAT_04,20,2026-09-08 10:00,4901234700017,20,個,,
DEMO-STORE-ENTRY-001,Shelf_04,REAL-SKU-0018,メイクブラシ,CAT_04,8,2026-09-08 10:00,4901234700018,8,個,,
DEMO-STORE-ENTRY-001,Shelf_04,REAL-SKU-0019,ネイルケア用品,CAT_04,10,2026-09-08 10:00,4901234700019,10,個,,
DEMO-STORE-ENTRY-001,Shelf_04,REAL-SKU-0020,コンパクトミラー,CAT_04,7,2026-09-08 10:00,4901234700020,7,個,,
